location,source,target
0x46e0f0@mhfdat-jp.bin,ガーディアンマスク,Guardian Mask
0x46e0f4@mhfdat-jp.bin,ヘルパーフード,Helper Hood
0x46e0f8@mhfdat-jp.bin,ヒーラーグラス,Healer Glasses
0x46e0fc@mhfdat-jp.bin,スカルフェイス,Skull Face
0x46e100@mhfdat-jp.bin,ガルルガヘルム,Garuga Helm
0x46e104@mhfdat-jp.bin,ガルルガキャップ,Garuga Cap
0x46e108@mhfdat-jp.bin,ガルルガフェイク,Garuga Mask
0x46e10c@mhfdat-jp.bin,暁丸【兜】,暁丸 Kabuto
0x46e110@mhfdat-jp.bin,曙丸【烏帽子】,曙丸 [Eboshi 】
0x46e114@mhfdat-jp.bin,凛【鉢金】,凛 Hachigane
0x46e118@mhfdat-jp.bin,艶【鉢金】,艶 Hachigane
0x46e11c@mhfdat-jp.bin,ドラゴンヘッド,Dragon Head
0x46e120@mhfdat-jp.bin,ドラゴンフェイス,Dragon Face
0x46e124@mhfdat-jp.bin,レザーライトＵヘルム,Leather U Helm
0x46e128@mhfdat-jp.bin,チェーンＵヘルム,Chainmail U Helm
0x46e12c@mhfdat-jp.bin,ハンターＵヘルム,Hunter's U Helm
0x46e130@mhfdat-jp.bin,ハンターＵキャップ,Hunter's U Cap
0x46e134@mhfdat-jp.bin,ボーンＵヘルム,Bone U Helm
0x46e138@mhfdat-jp.bin,ボーンＵキャップ,Bone U Cap
0x46e13c@mhfdat-jp.bin,ギアノスヘルム,Gia Helm
0x46e140@mhfdat-jp.bin,ギアノスキャップ,Gia Cap
0x46e144@mhfdat-jp.bin,バトルＵヘルム,Battle U Helm
0x46e148@mhfdat-jp.bin,バトルＵキャップ,Battle U Cap
0x46e14c@mhfdat-jp.bin,ランゴＵヘルム,Vespoid U Helm
0x46e150@mhfdat-jp.bin,ランゴＵキャップ,Vespoid U Cap
0x46e154@mhfdat-jp.bin,タロスＵヘルム,Hornetaur U Helm
0x46e158@mhfdat-jp.bin,タロスＵキャップ,Hornetaur U Cap
0x46e15c@mhfdat-jp.bin,ハイメタＵヘルム,High Metal U Helm
0x46e160@mhfdat-jp.bin,ハイメタＵキャップ,High Metal U Cap
0x46e164@mhfdat-jp.bin,ゲネポスＵヘルム,Gen U Helm
0x46e168@mhfdat-jp.bin,ゲネポスＵキャップ,Gen U Cap
0x46e16c@mhfdat-jp.bin,イーオスＵヘルム,Io U Helm
0x46e170@mhfdat-jp.bin,イーオスＵキャップ,Io U Cap
0x46e174@mhfdat-jp.bin,ゲリョスＵヘルム,Gypceros U Helm
0x46e178@mhfdat-jp.bin,ゲリョスＵキャップ,Gypceros U Cap
0x46e17c@mhfdat-jp.bin,ガレオスＵヘルム,Cepha U Helm
0x46e180@mhfdat-jp.bin,ガレオスＵキャップ,Cepha U Cap
0x46e184@mhfdat-jp.bin,リオハートヘルム,Rath Heart Helm
0x46e188@mhfdat-jp.bin,リオハートキャップ,Rath Heart Cap
0x46e18c@mhfdat-jp.bin,フルフルＵヘルム,Khezu U Helm
0x46e190@mhfdat-jp.bin,フルフルＵキャップ,Khezu U Cap
0x46e194@mhfdat-jp.bin,リオソウルヘルム,Rath Soul Helm
0x46e198@mhfdat-jp.bin,リオソウルキャップ,Rath Soul Cap
0x46e19c@mhfdat-jp.bin,ガノスＵヘルム,Plesioth U Helm
0x46e1a0@mhfdat-jp.bin,ガノスＵキャップ,Plesioth U Cap
0x46e1a4@mhfdat-jp.bin,バサルＵヘルム,Basarios U Helm
0x46e1a8@mhfdat-jp.bin,バサルＵキャップ,Basarios U Cap
0x46e1ac@mhfdat-jp.bin,ディアブロＵヘルム,Diablos U Helm
0x46e1b0@mhfdat-jp.bin,ディアブロＵキャップ,Diablos U Cap
0x46e1b4@mhfdat-jp.bin,モノデビルヘルム,Monodevil Helm
0x46e1b8@mhfdat-jp.bin,モノデビルキャップ,Monodevil Cap
0x46e1bc@mhfdat-jp.bin,グラビドＵヘルム,Gravios U Helm
0x46e1c0@mhfdat-jp.bin,グラビドＵキャップ,Gravios U Cap
0x46e1c4@mhfdat-jp.bin,忍の面・空,Shinobi Mask・空
0x46e1c8@mhfdat-jp.bin,忍の面・海,Shinobi Mask・海
0x46e1cc@mhfdat-jp.bin,ガーディアンＵヘルム,Guardian U Helm
0x46e1d0@mhfdat-jp.bin,ガーディアンＵマスク,Guardian U Mask
0x46e1d4@mhfdat-jp.bin,ヘルパーＵフード,Helper U Hood
0x46e1d8@mhfdat-jp.bin,ヒーラーＵベレー,Healer U Beret
0x46e1dc@mhfdat-jp.bin,暁丸・皇【兜】,暁丸・皇 Kabuto
0x46e1e0@mhfdat-jp.bin,曙丸・皇【烏帽子】,曙丸・皇 [Eboshi 】
0x46e1e4@mhfdat-jp.bin,凛・皇【鉢金】,凛・皇 Hachigane
0x46e1e8@mhfdat-jp.bin,艶・皇【鉢金】,艶・皇 Hachigane
0x46e1ec@mhfdat-jp.bin,ミラバルカンヘッド,ミラ Vulcan Head
0x46e1f0@mhfdat-jp.bin,ミラバルカンフェイス,ミラ Vulcan Face
0x46e1f4@mhfdat-jp.bin,ゴールドルナヘルム,ゴールド Lune Helm
0x46e1f8@mhfdat-jp.bin,ゴールドルナキャップ,ゴールド Lune Cap
0x46e1fc@mhfdat-jp.bin,シルバーソルヘルム,Silver Sol Helm
0x46e200@mhfdat-jp.bin,シルバーソルキャップ,Silver Sol Cap
0x46e204@mhfdat-jp.bin,レザーライトＳヘルム,Leather S Helm
0x46e208@mhfdat-jp.bin,チェーンＳヘルム,Chainmail S Helm
0x46e20c@mhfdat-jp.bin,ハンターＳヘルム,Hunter's S Helm
0x46e210@mhfdat-jp.bin,ハンターＳキャップ,Hunter's S Cap
0x46e214@mhfdat-jp.bin,ボーンＳヘルム,Bone S Helm
0x46e218@mhfdat-jp.bin,ボーンＳキャップ,Bone S Cap
0x46e21c@mhfdat-jp.bin,ランポスＳヘルム,Veloci S Helm
0x46e220@mhfdat-jp.bin,ランポスＳキャップ,Veloci S Cap
0x46e224@mhfdat-jp.bin,バトルＳヘルム,Battle S Helm
0x46e228@mhfdat-jp.bin,バトルＳキャップ,Battle S Cap
0x46e22c@mhfdat-jp.bin,ランゴＳヘルム,Vespoid S Helm
0x46e230@mhfdat-jp.bin,ランゴＳキャップ,Vespoid S Cap
0x46e234@mhfdat-jp.bin,タロスＳヘルム,Hornetaur S Helm
0x46e238@mhfdat-jp.bin,タロスＳキャップ,Hornetaur S Cap
0x46e23c@mhfdat-jp.bin,ハイメタＳヘルム,High Metal S Helm
0x46e240@mhfdat-jp.bin,ハイメタＳキャップ,High Metal S Cap
0x46e244@mhfdat-jp.bin,ゲネポスＳヘルム,Gen S Helm
0x46e248@mhfdat-jp.bin,ゲネポスＳキャップ,Gen S Cap
0x46e24c@mhfdat-jp.bin,クックＳヘルム,Kut-Ku S Helm
0x46e250@mhfdat-jp.bin,クックＳキャップ,Kut-Ku S Cap
0x46e254@mhfdat-jp.bin,イーオスＳヘルム,Io S Helm
0x46e258@mhfdat-jp.bin,イーオスＳキャップ,Io S Cap
0x46e25c@mhfdat-jp.bin,ゲリョスＳヘルム,Gypceros S Helm
0x46e260@mhfdat-jp.bin,ゲリョスＳキャップ,Gypceros S Cap
0x46e264@mhfdat-jp.bin,ガレオスＳヘルム,Cepha S Helm
0x46e268@mhfdat-jp.bin,ガレオスＳキャップ,Cepha S Cap
0x46e26c@mhfdat-jp.bin,レイアＳヘルム,Rathian S Helm
0x46e270@mhfdat-jp.bin,レイアＳキャップ,Rathian S Cap
0x46e274@mhfdat-jp.bin,フルフルＳヘルム,Khezu S Helm
0x46e278@mhfdat-jp.bin,フルフルＳキャップ,Khezu S Cap
0x46e27c@mhfdat-jp.bin,レウスＳヘルム,Rathalos S Helm
0x46e280@mhfdat-jp.bin,レウスＳキャップ,Rathalos S Cap
0x46e284@mhfdat-jp.bin,ガノスＳヘルム,Plesioth S Helm
0x46e288@mhfdat-jp.bin,ガノスＳキャップ,Plesioth S Cap
0x46e28c@mhfdat-jp.bin,バサルＳヘルム,Basarios S Helm
0x46e290@mhfdat-jp.bin,バサルＳキャップ,Basarios S Cap
0x46e294@mhfdat-jp.bin,ディアブロＳヘルム,Diablos S Helm
0x46e298@mhfdat-jp.bin,ディアブロＳキャップ,Diablos S Cap
0x46e29c@mhfdat-jp.bin,モノブロスＳヘルム,Monoblos S Helm
0x46e2a0@mhfdat-jp.bin,モノブロスＳキャップ,Monoblos S Cap
0x46e2a4@mhfdat-jp.bin,グラビドＳヘルム,Gravios S Helm
0x46e2a8@mhfdat-jp.bin,グラビドＳキャップ,Gravios S Cap
0x46e2ac@mhfdat-jp.bin,忍の面・天,Shinobi Mask・Heaven
0x46e2b0@mhfdat-jp.bin,忍の面・地,Shinobi Mask・Earth
0x46e2b4@mhfdat-jp.bin,ギルドガードロポス紅,Guild Guard Lobos Crimson
0x46e2b8@mhfdat-jp.bin,ギルドガードマスク紅,Guild Guard Mask Crimson
0x46e2bc@mhfdat-jp.bin,ギルドガードハット紅,Guild Guard Hat Crimson
0x46e2c0@mhfdat-jp.bin,ギルドガードピアス紅,Guild Guard Piercings Crimson
0x46e2c4@mhfdat-jp.bin,暁丸・覇【兜】,暁丸・覇 Kabuto
0x46e2c8@mhfdat-jp.bin,曙丸・覇【烏帽子】,曙丸・覇 [Eboshi 】
0x46e2cc@mhfdat-jp.bin,凛・覇【鉢金】,凛・覇 Hachigane
0x46e2d0@mhfdat-jp.bin,艶・覇【鉢金】,艶・覇 Hachigane
0x46e2d4@mhfdat-jp.bin,ドラゴンＳヘッド,Dragon S Head
0x46e2d8@mhfdat-jp.bin,ドラゴンＳフェイス,Dragon S Face
0x46e2dc@mhfdat-jp.bin,ザザミヘルム,Hermitaur Helm
0x46e2e0@mhfdat-jp.bin,ザザミキャップ,Hermitaur Cap
0x46e2e4@mhfdat-jp.bin,ザザミＵヘルム,Hermitaur U Helm
0x46e2e8@mhfdat-jp.bin,ザザミＵキャップ,Hermitaur U Cap
0x46e2ec@mhfdat-jp.bin,ザザミＳヘルム,Hermitaur S Helm
0x46e2f0@mhfdat-jp.bin,ザザミＳキャップ,Hermitaur S Cap
0x46e2f4@mhfdat-jp.bin,コンガヘルム,Congalala Helm
0x46e2f8@mhfdat-jp.bin,コンガキャップ,Congalala Cap
0x46e2fc@mhfdat-jp.bin,コンガＵヘルム,Congalala U Helm
0x46e300@mhfdat-jp.bin,コンガＵキャップ,Congalala U Cap
0x46e304@mhfdat-jp.bin,コンガＳヘルム,Congalala S Helm
0x46e308@mhfdat-jp.bin,コンガＳキャップ,Congalala S Cap
0x46e30c@mhfdat-jp.bin,ブランゴヘルム,Blango Helm
0x46e310@mhfdat-jp.bin,ブランゴキャップ,Blango Cap
0x46e314@mhfdat-jp.bin,ブランゴＵヘルム,Blango U Helm
0x46e318@mhfdat-jp.bin,ブランゴＵキャップ,Blango U Cap
0x46e31c@mhfdat-jp.bin,ブランゴＳヘルム,Blango S Helm
0x46e320@mhfdat-jp.bin,ブランゴＳキャップ,Blango S Cap
0x46e324@mhfdat-jp.bin,ギザミヘルム,Ceanataur Helm
0x46e328@mhfdat-jp.bin,ギザミキャップ,Ceanataur Cap
0x46e32c@mhfdat-jp.bin,ギザミＵヘルム,Ceanataur U Helm
0x46e330@mhfdat-jp.bin,ギザミＵキャップ,Ceanataur U Cap
0x46e334@mhfdat-jp.bin,ギザミＳヘルム,Ceanataur S Helm
0x46e338@mhfdat-jp.bin,ギザミＳキャップ,Ceanataur S Cap
0x46e33c@mhfdat-jp.bin,キリンホーン,Kirin Horn
0x46e340@mhfdat-jp.bin,キリンコルノ,Kirin Corno
0x46e344@mhfdat-jp.bin,キリンＳホーン,Kirin S Horn
0x46e348@mhfdat-jp.bin,キリンＳコルノ,Kirin S Corno
0x46e34c@mhfdat-jp.bin,クシャナアンク,Kushala Glare
0x46e350@mhfdat-jp.bin,クシャナスーラ,Kushala Snarl
0x46e354@mhfdat-jp.bin,ミヅハ【烏帽子】,Mizuha [Eboshi 】
0x46e358@mhfdat-jp.bin,トヨタマ【烏帽子】,Toyotama [Eboshi 】
0x46e35c@mhfdat-jp.bin,エンプレスセクター,Empress Sector
0x46e360@mhfdat-jp.bin,エンプレスマスク,Empress Mask
0x46e364@mhfdat-jp.bin,金剛【兜】,Gold 剛 Kabuto
0x46e368@mhfdat-jp.bin,不動【兜】,不動 Kabuto
0x46e36c@mhfdat-jp.bin,カイザークラウン,Kaiser Crown
0x46e370@mhfdat-jp.bin,カイザーマスク,Kaiser Mask
0x46e374@mhfdat-jp.bin,夜叉【御面】,夜叉【御 Mask 】
0x46e378@mhfdat-jp.bin,修羅【御面】,修羅【御 Mask 】
0x46e37c@mhfdat-jp.bin,金色ノ添髪,Golden Headdress
0x46e380@mhfdat-jp.bin,黒子ノ面隠,Black Cub Mask 隠
0x46e384@mhfdat-jp.bin,ミラルーツヘッド,White Fatalis Head
0x46e388@mhfdat-jp.bin,ミラルーツフェイス,White Fatalis Face
0x46e38c@mhfdat-jp.bin,クロオビＳヘルム,Black Belt S Helm
0x46e390@mhfdat-jp.bin,ギアノスフェイク,Gia Mask
0x46e394@mhfdat-jp.bin,ガブラスフェイク,Remobra Mask
0x46e398@mhfdat-jp.bin,ギルドナイトフェザー,Guild Knight Feather
0x46e39c@mhfdat-jp.bin,ギルドナイトマスク,Guild Knight Mask
0x46e3a0@mhfdat-jp.bin,メイドカチューシャ,Maid Headband
0x46e3a4@mhfdat-jp.bin,プライベートグラス,Private Glasses
0x46e3a8@mhfdat-jp.bin,ホワイトピアス,White Piercings
0x46e3ac@mhfdat-jp.bin,ギルドガードロポス蒼,Guild Guard Lobos Green
0x46e3b0@mhfdat-jp.bin,ギルドガードマスク蒼,Guild Guard Mask Green
0x46e3b4@mhfdat-jp.bin,ギルドガードハット蒼,Guild Guard Hat Green
0x46e3b8@mhfdat-jp.bin,ギルドガードピアス蒼,Guild Guard Piercings Green
0x46e3bc@mhfdat-jp.bin,Ｋ・ロブスタキャップ,K・ロブスタ Cap
0x46e3c0@mhfdat-jp.bin,技のピアス,技の Piercings
0x46e3c4@mhfdat-jp.bin,力のピアス,力の Piercings
0x46e3c8@mhfdat-jp.bin,命のピアス,命の Piercings
0x46e3cc@mhfdat-jp.bin,名人のピアス,名人の Piercings
0x46e3d0@mhfdat-jp.bin,職人のピアス,職人の Piercings
0x46e3d4@mhfdat-jp.bin,凄腕のピアス,凄腕の Piercings
0x46e3d8@mhfdat-jp.bin,強運のピアス,強運の Piercings
0x46e3dc@mhfdat-jp.bin,悪運のピアス,悪運の Piercings
0x46e3e0@mhfdat-jp.bin,護人のピアス,護人の Piercings
0x46e3e4@mhfdat-jp.bin,勇者のピアス,勇者の Piercings
0x46e3e8@mhfdat-jp.bin,Ｆヘッド00,F Head 00
0x46e3ec@mhfdat-jp.bin,Ｆヘッド01,F Head 01
0x46e3f0@mhfdat-jp.bin,フレアーピアス,Flare Piercings
0x46e3f4@mhfdat-jp.bin,クックイヤーカフス,Kut-Ku Ear Cuffs
0x46e3f8@mhfdat-jp.bin,クックイヤリング,Kut-Ku Earrings
0x46e3fc@mhfdat-jp.bin,クックＵヘルム,Kut-Ku U Helm
0x46e400@mhfdat-jp.bin,クックＵキャップ,Kut-Ku U Cap
0x46e404@mhfdat-jp.bin,ヒプノヘルム,Hypnoc Helm
0x46e408@mhfdat-jp.bin,ヒプノキャップ,Hypnoc Cap
0x46e40c@mhfdat-jp.bin,ヒプノＵヘルム,Hypnoc U Helm
0x46e410@mhfdat-jp.bin,ヒプノＵキャップ,Hypnoc U Cap
0x46e414@mhfdat-jp.bin,ラヴァヘルム,Lavasioth Helm
0x46e418@mhfdat-jp.bin,ラヴァキャップ,Lavasioth Cap
0x46e41c@mhfdat-jp.bin,ラヴァＳヘルム,Lavasioth S Helm
0x46e420@mhfdat-jp.bin,ラヴァＳキャップ,Lavasioth S Cap
0x46e424@mhfdat-jp.bin,ギアノスＵヘルム,Gia U Helm
0x46e428@mhfdat-jp.bin,ギアノスＵキャップ,Gia U Cap
0x46e42c@mhfdat-jp.bin,しろねこ服マスク,White Cat Mask
0x46e430@mhfdat-jp.bin,くろねこ服マスク,Black Cat Mask
0x46e434@mhfdat-jp.bin,きんねこ服マスク,Gold Cat Mask
0x46e438@mhfdat-jp.bin,ゴシックピアス,Gothic Piercings
0x46e43c@mhfdat-jp.bin,ゴシックＦピアス,Gothic F Piercings
0x46e440@mhfdat-jp.bin,ベイルイヤリング,Beil Earrings
0x46e444@mhfdat-jp.bin,コムラドヘルム【猩】,Comrade Helm 【猩】
0x46e448@mhfdat-jp.bin,ジストレルヘッド,Jisutoreru Head
0x46e44c@mhfdat-jp.bin,デュオヘルム,Duo Helm
0x46e450@mhfdat-jp.bin,スマートヘッド,Smart Head
0x46e454@mhfdat-jp.bin,ストレングスヘッド,Strength Head
0x46e458@mhfdat-jp.bin,ブートアップヘッド,Boot Up Head
0x46e45c@mhfdat-jp.bin,ユウェネスヘッド,Yuenesu Head
0x46e460@mhfdat-jp.bin,欠番,Missing No.
0x46e464@mhfdat-jp.bin,欠番,Missing No.
0x46e468@mhfdat-jp.bin,エアリアルヘッド,Aerial Head
0x46e46c@mhfdat-jp.bin,ジストヘッド,ジスト Head
0x46e470@mhfdat-jp.bin,欠番,Missing No.
0x46e474@mhfdat-jp.bin,エクストラヘッド,Extra Head
0x46e478@mhfdat-jp.bin,ウナペルトヘッド,ウナペルト Head
0x46e47c@mhfdat-jp.bin,キューラーヘッド,Kyuura Head
0x46e480@mhfdat-jp.bin,欠番,Missing No.
0x46e484@mhfdat-jp.bin,欠番,Missing No.
0x46e488@mhfdat-jp.bin,ラフねこ服マスク,Rough Cat Mask
0x46e48c@mhfdat-jp.bin,レックスヘルム,Tigrex Helm
0x46e490@mhfdat-jp.bin,レックスキャップ,Tigrex Cap
0x46e494@mhfdat-jp.bin,レックスＳヘルム,Tigrex S Helm
0x46e498@mhfdat-jp.bin,レックスＳキャップ,Tigrex S Cap
0x46e49c@mhfdat-jp.bin,パピメルテスタ,Butterfly Vertex
0x46e4a0@mhfdat-jp.bin,パピメルカブト,Butterfly Kabuto
0x46e4a4@mhfdat-jp.bin,パピメルＳテスタ,Butterfly S Vertex
0x46e4a8@mhfdat-jp.bin,パピメルＳカブト,Butterfly S Kabuto
0x46e4ac@mhfdat-jp.bin,チャチャブーフェイク,Shakalaka Mask
0x46e4b0@mhfdat-jp.bin,フェロウクレスト,Fellow Crest
0x46e4b4@mhfdat-jp.bin,常連のピアス,常連の Piercings
0x46e4b8@mhfdat-jp.bin,猟団員の証【耐】,猟団員の証【耐】
0x46e4bc@mhfdat-jp.bin,狩人のピアス【運搬】,狩人の Piercings 【運搬】
0x46e4c0@mhfdat-jp.bin,狩人のピアス【釣師】,狩人の Piercings 【釣師】
0x46e4c4@mhfdat-jp.bin,猟団員の証【鉄壁】,猟団員の証【鉄壁】
0x46e4c8@mhfdat-jp.bin,メルホアＵフロール,Melahoa U Vizor
0x46e4cc@mhfdat-jp.bin,マカルパＵフード,Makluva U Hood
0x46e4d0@mhfdat-jp.bin,ビストロＵキャップ,Bistro U Cap
0x46e4d4@mhfdat-jp.bin,オウビートテスタ,King Beetle Vertex
0x46e4d8@mhfdat-jp.bin,オウビートカブト,King Beetle Kabuto
0x46e4dc@mhfdat-jp.bin,オウビートＳテスタ,King Beetle S Vertex
0x46e4e0@mhfdat-jp.bin,オウビートＳカブト,King Beetle S Kabuto
0x46e4e4@mhfdat-jp.bin,デスギアゲヒル,Death Stench Brain
0x46e4e8@mhfdat-jp.bin,デスギアゼレ,Death Stench Soul
0x46e4ec@mhfdat-jp.bin,デスギアＳゲヒル,Death Stench S Brain
0x46e4f0@mhfdat-jp.bin,デスギアＳゼレ,Death Stench S Soul
0x46e4f4@mhfdat-jp.bin,マフモフフード,Mafumofu Hood
0x46e4f8@mhfdat-jp.bin,マフモフＳフード,Mafumofu S Hood
0x46e4fc@mhfdat-jp.bin,アカムトサクパケ,Akantor Mask
0x46e500@mhfdat-jp.bin,アカムトサクイマキ,Akantor Fangs
0x46e504@mhfdat-jp.bin,クシャナＦアンク,Kushala F Glare
0x46e508@mhfdat-jp.bin,クシャナＦスーラ,Kushala F Snarl
0x46e50c@mhfdat-jp.bin,カイザーＦクラウン,Kaiser F Crown
0x46e510@mhfdat-jp.bin,カイザーＦマスク,Kaiser F Mask
0x46e514@mhfdat-jp.bin,ミヅハ魁【烏帽子】,Mizuha 魁 [Eboshi 】
0x46e518@mhfdat-jp.bin,トヨタマ魁【烏帽子】,Toyotama 魁 [Eboshi 】
0x46e51c@mhfdat-jp.bin,金剛・魁【兜】, Gold 剛・魁 Kabuto
0x46e520@mhfdat-jp.bin,不動・魁【兜】,不動・魁 Kabuto
0x46e524@mhfdat-jp.bin,夜叉・魁【御面】,夜叉・魁【御 Mask 】
0x46e528@mhfdat-jp.bin,修羅・魁【御面】,修羅・魁【御 Mask 】
0x46e52c@mhfdat-jp.bin,エンプレスＦセクター,Empress F Sector
0x46e530@mhfdat-jp.bin,エンプレスＦマスク,Empress F Mask
0x46e534@mhfdat-jp.bin,金色ノ添髪・魁,Golden Headdress・魁
0x46e538@mhfdat-jp.bin,黒子ノ面隠・魁,Black Cub Mask 隠・魁
0x46e53c@mhfdat-jp.bin,ガルルガＦヘルム,Garuga F Helm
0x46e540@mhfdat-jp.bin,ガルルガＦキャップ,Garuga F Cap
0x46e544@mhfdat-jp.bin,クシャナＦアンク,Kushala F Glare
0x46e548@mhfdat-jp.bin,クシャナＦスーラ,Kushala F Snarl
0x46e54c@mhfdat-jp.bin,カイザーＦクラウン,Kaiser F Crown
0x46e550@mhfdat-jp.bin,カイザーＦマスク,Kaiser F Mask
0x46e554@mhfdat-jp.bin,ミヅハ魁【烏帽子】,Mizuha 魁 [Eboshi 】
0x46e558@mhfdat-jp.bin,トヨタマ魁【烏帽子】,Toyotama 魁 [Eboshi 】
0x46e55c@mhfdat-jp.bin,金剛・魁【兜】, Gold 剛・魁 Kabuto
0x46e560@mhfdat-jp.bin,不動・魁【兜】,不動・魁 Kabuto
0x46e564@mhfdat-jp.bin,夜叉・魁【御面】,夜叉・魁【御 Mask 】
0x46e568@mhfdat-jp.bin,修羅・魁【御面】,修羅・魁【御 Mask 】
0x46e56c@mhfdat-jp.bin,エンプレスＦセクター,Empress F Sector
0x46e570@mhfdat-jp.bin,エンプレスＦマスク,Empress F Mask
0x46e574@mhfdat-jp.bin,金色ノ添髪・魁,Golden Headdress・魁
0x46e578@mhfdat-jp.bin,黒子ノ面隠・魁,Black Cub Mask 隠・魁
0x46e57c@mhfdat-jp.bin,ガルルガＦヘルム,Garuga F Helm
0x46e580@mhfdat-jp.bin,ガルルガＦキャップ,Garuga F Cap
0x46e584@mhfdat-jp.bin,ラヴァＵヘルム,Lavasioth U Helm
0x46e588@mhfdat-jp.bin,ラヴァＵキャップ,Lavasioth U Cap
0x46e58c@mhfdat-jp.bin,ホワイトメタルピアス,White Metal Piercings
0x46e590@mhfdat-jp.bin,セレストピアス,Celeste Piercings
0x46e594@mhfdat-jp.bin,シエルイヤリング,Ciel Earrings
0x46e598@mhfdat-jp.bin,コムラダヘルム【赤】,Comrade Helm [Red 】
0x46e59c@mhfdat-jp.bin,コムラダヘルム【青】,Comrade Helm [Blue 】
0x46e5a0@mhfdat-jp.bin,コムラダヘルム【緑】,Comrade Helm [Green 】
