location,source,target
0x4392c8@mhfdat-jp.bin,暁丸【具足】,暁丸 [Greaves 】
0x4392cc@mhfdat-jp.bin,曙丸【具足】,曙丸 [Greaves 】
0x4392d0@mhfdat-jp.bin,凛【袴】,凛 [Hakama 】
0x4392d4@mhfdat-jp.bin,艶【袴】,艶 [Hakama 】
0x4392d8@mhfdat-jp.bin,紅凛【袴】, Crimson 凛 [Hakama 】
0x4392dc@mhfdat-jp.bin,紅艶【袴】, Crimson 艶 [Hakama 】
0x4392e0@mhfdat-jp.bin,ドラゴンフット,Dragon Feet
0x4392e4@mhfdat-jp.bin,ドラゴンレグス,Dragon Legs
0x4392e8@mhfdat-jp.bin,クリームジャージー,クリーム Jersey
0x4392ec@mhfdat-jp.bin,コーヒージャージー,コーヒー Jersey
0x4392f0@mhfdat-jp.bin,ハンターＵグリーヴ,Hunter's U Greaves
0x4392f4@mhfdat-jp.bin,ハンターＵレギンス,Hunter's U Leggings
0x4392f8@mhfdat-jp.bin,ボーンＵグリーヴ,Bone U Greaves
0x4392fc@mhfdat-jp.bin,ボーンＵレギンス,Bone U Leggings
0x439300@mhfdat-jp.bin,ギアノスグリーヴ,Gia Greaves
0x439304@mhfdat-jp.bin,ギアノスレギンス,Gia Leggings
0x439308@mhfdat-jp.bin,バトルＵグリーヴ,Battle U Greaves
0x43930c@mhfdat-jp.bin,バトルＵレギンス,Battle U Leggings
0x439310@mhfdat-jp.bin,ランゴＵグリーヴ,Vespoid U Greaves
0x439314@mhfdat-jp.bin,ランゴＵレギンス,Vespoid U Leggings
0x439318@mhfdat-jp.bin,タロスＵグリーヴ,Hornetaur U Greaves
0x43931c@mhfdat-jp.bin,タロスＵレギンス,Hornetaur U Leggings
0x439320@mhfdat-jp.bin,ハイメタＵグリーヴ,High Metal U Greaves
0x439324@mhfdat-jp.bin,ハイメタＵレギンス,High Metal U Leggings
0x439328@mhfdat-jp.bin,ゲネポスＵグリーヴ,Gen U Greaves
0x43932c@mhfdat-jp.bin,ゲネポスＵレギンス,Gen U Leggings
0x439330@mhfdat-jp.bin,イーオスＵグリーヴ,Io U Greaves
0x439334@mhfdat-jp.bin,イーオスＵレギンス,Io U Leggings
0x439338@mhfdat-jp.bin,ゲリョスＵグリーヴ,Gypceros U Greaves
0x43933c@mhfdat-jp.bin,ゲリョスＵレギンス,Gypceros U Leggings
0x439340@mhfdat-jp.bin,ガレオスＵグリーヴ,Cepha U Greaves
0x439344@mhfdat-jp.bin,ガレオスＵレギンス,Cepha U Leggings
0x439348@mhfdat-jp.bin,リオハートグリーヴ,Rath Heart Greaves
0x43934c@mhfdat-jp.bin,リオハートレギンス,Rath Heart Leggings
0x439350@mhfdat-jp.bin,フルフルＵグリーヴ,Khezu U Greaves
0x439354@mhfdat-jp.bin,フルフルＵレギンス,Khezu U Leggings
0x439358@mhfdat-jp.bin,リオソウルグリーヴ,Rath Soul Greaves
0x43935c@mhfdat-jp.bin,リオソウルレギンス,Rath Soul Leggings
0x439360@mhfdat-jp.bin,ガノスＵグリーヴ,Plesioth U Greaves
0x439364@mhfdat-jp.bin,ガノスＵレギンス,Plesioth U Leggings
0x439368@mhfdat-jp.bin,バサルＵグリーヴ,Basarios U Greaves
0x43936c@mhfdat-jp.bin,バサルＵレギンス,Basarios U Leggings
0x439370@mhfdat-jp.bin,ディアブロＵグリーヴ,Diablos U Greaves
0x439374@mhfdat-jp.bin,ディアブロＵレギンス,Diablos U Leggings
0x439378@mhfdat-jp.bin,モノデビルグリーヴ,Monodevil Greaves
0x43937c@mhfdat-jp.bin,モノデビルレギンス,Monodevil Leggings
0x439380@mhfdat-jp.bin,グラビドＵグリーヴ,Gravios U Greaves
0x439384@mhfdat-jp.bin,グラビドＵレギンス,Gravios U Leggings
0x439388@mhfdat-jp.bin,忍の足袋・空,忍の Tabi・空
0x43938c@mhfdat-jp.bin,忍の足袋・海,忍の Tabi・海
0x439390@mhfdat-jp.bin,ガーディアンＵブーツ,Guardian U Boots
0x439394@mhfdat-jp.bin,ガーディアンＵフット,Guardian U Feet
0x439398@mhfdat-jp.bin,ヘルパーＵソックス,Helper U Socks
0x43939c@mhfdat-jp.bin,ヒーラーＵソックス,Healer U Socks
0x4393a0@mhfdat-jp.bin,暁丸・皇【具足】,暁丸・皇 [Greaves 】
0x4393a4@mhfdat-jp.bin,曙丸・皇【具足】,曙丸・皇 [Greaves 】
0x4393a8@mhfdat-jp.bin,凛・皇【袴】,凛・皇 [Hakama 】
0x4393ac@mhfdat-jp.bin,艶・皇【袴】,艶・皇 [Hakama 】
0x4393b0@mhfdat-jp.bin,ミラバルカンフット,ミラ Vulcan Feet
0x4393b4@mhfdat-jp.bin,ミラバルカンレグス,ミラ Vulcan Legs
0x4393b8@mhfdat-jp.bin,ゴールドルナグリーヴ,ゴールド Lune Greaves
0x4393bc@mhfdat-jp.bin,ゴールドルナレギンス,ゴールド Lune Leggings
0x4393c0@mhfdat-jp.bin,シルバーソルグリーヴ,Silver Sol Greaves
0x4393c4@mhfdat-jp.bin,シルバーソルレギンス,Silver Sol Leggings
0x4393c8@mhfdat-jp.bin,グリーンＳジャージー,Green S Jersey
0x4393cc@mhfdat-jp.bin,ブルーＳジャージー,Blue S Jersey
0x4393d0@mhfdat-jp.bin,ハンターＳグリーヴ,Hunter's S Greaves
0x4393d4@mhfdat-jp.bin,ハンターＳレギンス,Hunter's S Leggings
0x4393d8@mhfdat-jp.bin,ボーンＳグリーヴ,Bone S Greaves
0x4393dc@mhfdat-jp.bin,ボーンＳレギンス,Bone S Leggings
0x4393e0@mhfdat-jp.bin,ランポスＳグリーヴ,Veloci S Greaves
0x4393e4@mhfdat-jp.bin,ランポスＳレギンス,Veloci S Leggings
0x4393e8@mhfdat-jp.bin,バトルＳグリーヴ,Battle S Greaves
0x4393ec@mhfdat-jp.bin,バトルＳレギンス,Battle S Leggings
0x4393f0@mhfdat-jp.bin,ランゴＳグリーヴ,Vespoid S Greaves
0x4393f4@mhfdat-jp.bin,ランゴＳレギンス,Vespoid S Leggings
0x4393f8@mhfdat-jp.bin,タロスＳグリーヴ,Hornetaur S Greaves
0x4393fc@mhfdat-jp.bin,タロスＳレギンス,Hornetaur S Leggings
0x439400@mhfdat-jp.bin,ハイメタＳグリーヴ,High Metal S Greaves
0x439404@mhfdat-jp.bin,ハイメタＳレギンス,High Metal S Leggings
0x439408@mhfdat-jp.bin,ゲネポスＳグリーヴ,Gen S Greaves
0x43940c@mhfdat-jp.bin,ゲネポスＳレギンス,Gen S Leggings
0x439410@mhfdat-jp.bin,クックＳグリーヴ,Kut-Ku S Greaves
0x439414@mhfdat-jp.bin,クックＳレギンス,Kut-Ku S Leggings
0x439418@mhfdat-jp.bin,イーオスＳグリーヴ,Io S Greaves
0x43941c@mhfdat-jp.bin,イーオスＳレギンス,Io S Leggings
0x439420@mhfdat-jp.bin,ゲリョスＳグリーヴ,Gypceros S Greaves
0x439424@mhfdat-jp.bin,ゲリョスＳレギンス,Gypceros S Leggings
0x439428@mhfdat-jp.bin,ガレオスＳグリーヴ,Cepha S Greaves
0x43942c@mhfdat-jp.bin,ガレオスＳレギンス,Cepha S Leggings
0x439430@mhfdat-jp.bin,レイアＳグリーヴ,Rathian S Greaves
0x439434@mhfdat-jp.bin,レイアＳレギンス,Rathian S Leggings
0x439438@mhfdat-jp.bin,フルフルＳグリーヴ,Khezu S Greaves
0x43943c@mhfdat-jp.bin,フルフルＳレギンス,Khezu S Leggings
0x439440@mhfdat-jp.bin,レウスＳグリーヴ,Rathalos S Greaves
0x439444@mhfdat-jp.bin,レウスＳレギンス,Rathalos S Leggings
0x439448@mhfdat-jp.bin,ガノスＳグリーヴ,Plesioth S Greaves
0x43944c@mhfdat-jp.bin,ガノスＳレギンス,Plesioth S Leggings
0x439450@mhfdat-jp.bin,バサルＳグリーヴ,Basarios S Greaves
0x439454@mhfdat-jp.bin,バサルＳレギンス,Basarios S Leggings
0x439458@mhfdat-jp.bin,ディアブロＳグリーヴ,Diablos S Greaves
0x43945c@mhfdat-jp.bin,ディアブロＳレギンス,Diablos S Leggings
0x439460@mhfdat-jp.bin,モノブロスＳグリーヴ,Monoblos S Greaves
0x439464@mhfdat-jp.bin,モノブロスＳレギンス,Monoblos S Leggings
0x439468@mhfdat-jp.bin,グラビドＳグリーヴ,Gravios S Greaves
0x43946c@mhfdat-jp.bin,グラビドＳレギンス,Gravios S Leggings
0x439470@mhfdat-jp.bin,忍の足袋・天,忍の Tabi・Heaven
0x439474@mhfdat-jp.bin,忍の足袋・地,忍の Tabi・Earth
0x439478@mhfdat-jp.bin,ギルドガードブーツ紅,Guild Guard Boots Crimson
0x43947c@mhfdat-jp.bin,ギルドガードタイツ紅,Guild Guard タイツ Crimson
0x439480@mhfdat-jp.bin,ギルドガードブーツ紅,Guild Guard Boots Crimson
0x439484@mhfdat-jp.bin,ギルドガードタイツ紅,Guild Guard タイツ Crimson
0x439488@mhfdat-jp.bin,暁丸・覇【具足】,暁丸・覇 [Greaves 】
0x43948c@mhfdat-jp.bin,曙丸・覇【具足】,曙丸・覇 [Greaves 】
0x439490@mhfdat-jp.bin,凛・覇【袴】,凛・覇 [Hakama 】
0x439494@mhfdat-jp.bin,艶・覇【袴】,艶・覇 [Hakama 】
0x439498@mhfdat-jp.bin,ドラゴンＳフット,Dragon S Feet
0x43949c@mhfdat-jp.bin,ドラゴンＳレグス,Dragon S Legs
0x4394a0@mhfdat-jp.bin,ザザミグリーヴ,Hermitaur Greaves
0x4394a4@mhfdat-jp.bin,ザザミレギンス,Hermitaur Leggings
0x4394a8@mhfdat-jp.bin,ザザミＵグリーヴ,Hermitaur U Greaves
0x4394ac@mhfdat-jp.bin,ザザミＵレギンス,Hermitaur U Leggings
0x4394b0@mhfdat-jp.bin,ザザミＳグリーヴ,Hermitaur S Greaves
0x4394b4@mhfdat-jp.bin,ザザミＳレギンス,Hermitaur S Leggings
0x4394b8@mhfdat-jp.bin,コンガグリーヴ,Congalala Greaves
0x4394bc@mhfdat-jp.bin,コンガレギンス,Congalala Leggings
0x4394c0@mhfdat-jp.bin,コンガＵグリーヴ,Congalala U Greaves
0x4394c4@mhfdat-jp.bin,コンガＵレギンス,Congalala U Leggings
0x4394c8@mhfdat-jp.bin,コンガＳグリーヴ,Congalala S Greaves
0x4394cc@mhfdat-jp.bin,コンガＳレギンス,Congalala S Leggings
0x4394d0@mhfdat-jp.bin,ブランゴグリーヴ,Blango Greaves
0x4394d4@mhfdat-jp.bin,ブランゴレギンス,Blango Leggings
0x4394d8@mhfdat-jp.bin,ブランゴＵグリーヴ,Blango U Greaves
0x4394dc@mhfdat-jp.bin,ブランゴＵレギンス,Blango U Leggings
0x4394e0@mhfdat-jp.bin,ブランゴＳグリーヴ,Blango S Greaves
0x4394e4@mhfdat-jp.bin,ブランゴＳレギンス,Blango S Leggings
0x4394e8@mhfdat-jp.bin,ギザミグリーヴ,Ceanataur Greaves
0x4394ec@mhfdat-jp.bin,ギザミレギンス,Ceanataur Leggings
0x4394f0@mhfdat-jp.bin,ギザミＵグリーヴ,Ceanataur U Greaves
0x4394f4@mhfdat-jp.bin,ギザミＵレギンス,Ceanataur U Leggings
0x4394f8@mhfdat-jp.bin,ギザミＳグリーヴ,Ceanataur S Greaves
0x4394fc@mhfdat-jp.bin,ギザミＳレギンス,Ceanataur S Leggings
0x439500@mhfdat-jp.bin,キリンレガース,Kirin レガース
0x439504@mhfdat-jp.bin,キリンブーツ,Kirin Boots
0x439508@mhfdat-jp.bin,キリンＳレガース,Kirin Sレガース
0x43950c@mhfdat-jp.bin,キリンＳブーツ,Kirin S Boots
0x439510@mhfdat-jp.bin,クシャナペイル,Kushala ペイル
0x439514@mhfdat-jp.bin,クシャナハディ,Kushala ハディ
0x439518@mhfdat-jp.bin,ミヅハ【具足】,Mizuha [Greaves 】
0x43951c@mhfdat-jp.bin,トヨタマ【具足】,Toyotama [Greaves 】
0x439520@mhfdat-jp.bin,エンプレスグリーヴ,Empress Greaves
0x439524@mhfdat-jp.bin,エンプレスレギンス,Empress Leggings
0x439528@mhfdat-jp.bin,金剛【具足】,Gold 剛 [Greaves 】
0x43952c@mhfdat-jp.bin,不動【具足】,不動 [Greaves 】
0x439530@mhfdat-jp.bin,カイザーグリーヴ,Kaiser Greaves
0x439534@mhfdat-jp.bin,カイザーレギンス,Kaiser Leggings
0x439538@mhfdat-jp.bin,夜叉【御足】,夜叉【御足】
0x43953c@mhfdat-jp.bin,修羅【御足】,修羅【御足】
0x439540@mhfdat-jp.bin,金色ノ袴,Golden Hakama
0x439544@mhfdat-jp.bin,黒子ノ足袋,Black Cub Tabi
0x439548@mhfdat-jp.bin,ミラルーツフット,White Fatalis Feet
0x43954c@mhfdat-jp.bin,ミラルーツレギンス,White Fatalis Leggings
0x439550@mhfdat-jp.bin,クロオビＳグリーヴ,Black Belt S Greaves
0x439554@mhfdat-jp.bin,ギアノスーツフット,Gia ーツ Feet
0x439558@mhfdat-jp.bin,ガブラスーツフット,Remobra ーツ Feet
0x43955c@mhfdat-jp.bin,ギルドナイトブーツ,Guild Knight Boots
0x439560@mhfdat-jp.bin,ギルドナイトタイツ,Guild Knight タイツ
0x439564@mhfdat-jp.bin,メイドストッキング,Maid ストッキング
0x439568@mhfdat-jp.bin,プライベートタイツ,Private タイツ
0x43956c@mhfdat-jp.bin,ギルドガードブーツ蒼,Guild Guard Boots Green
0x439570@mhfdat-jp.bin,ギルドガードタイツ蒼,Guild Guard タイツ Green
0x439574@mhfdat-jp.bin,ギルドガードブーツ蒼,Guild Guard Boots Green
0x439578@mhfdat-jp.bin,ギルドガードタイツ蒼,Guild Guard タイツ Green
0x43957c@mhfdat-jp.bin,Ｋ・ロブスタグリーヴ,K・ロブスタ Greaves
0x439580@mhfdat-jp.bin,Ｋ・ロブスタレギンス,K・ロブスタ Leggings
0x439584@mhfdat-jp.bin,Ｆブーツ00,F Boots 00
0x439588@mhfdat-jp.bin,Ｆブーツ01,F Boots 01
0x43958c@mhfdat-jp.bin,ブレイドメタルブーツ,ブレイド Metal Boots
0x439590@mhfdat-jp.bin,クックグリーヴ,Kut-Ku Greaves
0x439594@mhfdat-jp.bin,クックレギンス,Kut-Ku Leggings
0x439598@mhfdat-jp.bin,クックＵグリーヴ,Kut-Ku U Greaves
0x43959c@mhfdat-jp.bin,クックＵレギンス,Kut-Ku U Leggings
0x4395a0@mhfdat-jp.bin,ヒプノグリーヴ,Hypnoc Greaves
0x4395a4@mhfdat-jp.bin,ヒプノレギンス,Hypnoc Leggings
0x4395a8@mhfdat-jp.bin,ヒプノＵグリーヴ,Hypnoc U Greaves
0x4395ac@mhfdat-jp.bin,ヒプノＵレギンス,Hypnoc U Leggings
0x4395b0@mhfdat-jp.bin,ラヴァグリーヴ,Lavasioth Greaves
0x4395b4@mhfdat-jp.bin,ラヴァレギンス,Lavasioth Leggings
0x4395b8@mhfdat-jp.bin,ラヴァＳグリーヴ,Lavasioth S Greaves
0x4395bc@mhfdat-jp.bin,ラヴァＳレギンス,Lavasioth S Leggings
0x4395c0@mhfdat-jp.bin,ギアノスＵグリーヴ,Gia U Greaves
0x4395c4@mhfdat-jp.bin,ギアノスＵレギンス,Gia U Leggings
0x4395c8@mhfdat-jp.bin,しろねこ服ブーツ,White Cat Boots
0x4395cc@mhfdat-jp.bin,くろねこ服ブーツ,Black Cat Boots
0x4395d0@mhfdat-jp.bin,きんねこ服ブーツ,Gold Cat Boots
0x4395d4@mhfdat-jp.bin,ゴシックグリーヴ,Gothic Greaves
0x4395d8@mhfdat-jp.bin,ゴシックＦグリーヴ,Gothic F Greaves
0x4395dc@mhfdat-jp.bin,ベイルディバイダー,Beil Divider
0x4395e0@mhfdat-jp.bin,コムラドブーツ【猩】,Comrade Boots 【猩】
0x4395e4@mhfdat-jp.bin,ジストレルレッグ,Jisutoreru Leg
0x4395e8@mhfdat-jp.bin,デュオグリーヴ,Duo Greaves
0x4395ec@mhfdat-jp.bin,スマートレッグ,Smart Leg
0x4395f0@mhfdat-jp.bin,ストレングスレッグ,Strength Leg
0x4395f4@mhfdat-jp.bin,ブートアップレッグ,Boot Up Leg
0x4395f8@mhfdat-jp.bin,ユウェネスレッグ,Yuenesu Leg
0x4395fc@mhfdat-jp.bin,欠番,Missing No.
0x439600@mhfdat-jp.bin,欠番,Missing No.
0x439604@mhfdat-jp.bin,エアリアルレッグ,Aerial Leg
0x439608@mhfdat-jp.bin,ジストレッグ,ジスト Leg
0x43960c@mhfdat-jp.bin,欠番,Missing No.
0x439610@mhfdat-jp.bin,エクストラレッグ,Extra Leg
0x439614@mhfdat-jp.bin,ウナペルトレッグ,ウナペルト Leg
0x439618@mhfdat-jp.bin,キューラーレッグ,Kyuura Leg
0x43961c@mhfdat-jp.bin,欠番,Missing No.
0x439620@mhfdat-jp.bin,欠番,Missing No.
0x439624@mhfdat-jp.bin,レックスグリーヴ,Tigrex Greaves
0x439628@mhfdat-jp.bin,レックスレギンス,Tigrex Leggings
0x43962c@mhfdat-jp.bin,レックスＳグリーヴ,Tigrex S Greaves
0x439630@mhfdat-jp.bin,レックスＳレギンス,Tigrex S Leggings
0x439634@mhfdat-jp.bin,パピメルガンバ,Butterfly Crura
0x439638@mhfdat-jp.bin,パピメルフェムル,Butterfly フェムル
0x43963c@mhfdat-jp.bin,パピメルＳガンバ,Butterfly S Crura
0x439640@mhfdat-jp.bin,パピメルＳフェムル,Butterfly Sフェムル
0x439644@mhfdat-jp.bin,アカムトケマル,Akantor ケマル
0x439648@mhfdat-jp.bin,アカムトチケル,Akantor チケル
0x43964c@mhfdat-jp.bin,ウナペルトＦレッグ,ウナペルトF Leg
0x439650@mhfdat-jp.bin,あかねこ服Ｆブーツ,Red Cat F Boots
0x439654@mhfdat-jp.bin,メルホアライース,Melahoa Roots
0x439658@mhfdat-jp.bin,メルホアＵライース,Melahoa U Roots
0x43965c@mhfdat-jp.bin,マカルパパンツ,Makluva Pants
0x439660@mhfdat-jp.bin,マカルパＵパンツ,Makluva U Pants
0x439664@mhfdat-jp.bin,オウビートガンバ,King Beetle Crura
0x439668@mhfdat-jp.bin,オウビートフェムル,King Beetle フェムル
0x43966c@mhfdat-jp.bin,オウビートＳガンバ,King Beetle S Crura
0x439670@mhfdat-jp.bin,オウビートＳフェムル,King Beetle Sフェムル
0x439674@mhfdat-jp.bin,デスギアフェルゼ,Death Stench Heel
0x439678@mhfdat-jp.bin,デスギアアヴィレ,Death Stench March
0x43967c@mhfdat-jp.bin,デスギアＳフェルゼ,Death Stench S Heel
0x439680@mhfdat-jp.bin,デスギアＳアヴィレ,Death Stench S March
0x439684@mhfdat-jp.bin,マフモフブーツ,Mafumofu Boots
0x439688@mhfdat-jp.bin,マフモフＳブーツ,Mafumofu S Boots
0x43968c@mhfdat-jp.bin,クシャナＦペイル,Kushala Fペイル
0x439690@mhfdat-jp.bin,クシャナＦハディ,Kushala Fハディ
0x439694@mhfdat-jp.bin,カイザーＦグリーヴ,Kaiser F Greaves
0x439698@mhfdat-jp.bin,カイザーＦレギンス,Kaiser F Leggings
0x43969c@mhfdat-jp.bin,ミヅハ魁【具足】,Mizuha 魁 [Greaves 】
0x4396a0@mhfdat-jp.bin,トヨタマ魁【具足】,Toyotama 魁 [Greaves 】
0x4396a4@mhfdat-jp.bin,金剛・魁【具足】, Gold 剛・魁 [Greaves 】
0x4396a8@mhfdat-jp.bin,不動・魁【具足】,不動・魁 [Greaves 】
0x4396ac@mhfdat-jp.bin,夜叉・魁【御足】,夜叉・魁【御足】
0x4396b0@mhfdat-jp.bin,修羅・魁【御足】,修羅・魁【御足】
0x4396b4@mhfdat-jp.bin,エンプレスＦグリーヴ,Empress F Greaves
0x4396b8@mhfdat-jp.bin,エンプレスＦレギンス,Empress F Leggings
0x4396bc@mhfdat-jp.bin,金色ノ袴・魁,Golden Hakama・魁
0x4396c0@mhfdat-jp.bin,黒子ノ足袋・魁,Black Cub Tabi・魁
0x4396c4@mhfdat-jp.bin,ガルルガＦグリーヴ,Garuga F Greaves
0x4396c8@mhfdat-jp.bin,ガルルガＦレギンス,Garuga F Leggings
0x4396cc@mhfdat-jp.bin,クシャナＦペイル,Kushala Fペイル
0x4396d0@mhfdat-jp.bin,クシャナＦハディ,Kushala Fハディ
0x4396d4@mhfdat-jp.bin,カイザーＦグリーヴ,Kaiser F Greaves
0x4396d8@mhfdat-jp.bin,カイザーＦレギンス,Kaiser F Leggings
0x4396dc@mhfdat-jp.bin,ミヅハ魁【具足】,Mizuha 魁 [Greaves 】
0x4396e0@mhfdat-jp.bin,トヨタマ魁【具足】,Toyotama 魁 [Greaves 】
0x4396e4@mhfdat-jp.bin,金剛・魁【具足】, Gold 剛・魁 [Greaves 】
0x4396e8@mhfdat-jp.bin,不動・魁【具足】,不動・魁 [Greaves 】
0x4396ec@mhfdat-jp.bin,夜叉・魁【御足】,夜叉・魁【御足】
0x4396f0@mhfdat-jp.bin,修羅・魁【御足】,修羅・魁【御足】
0x4396f4@mhfdat-jp.bin,エンプレスＦグリーヴ,Empress F Greaves
0x4396f8@mhfdat-jp.bin,エンプレスＦレギンス,Empress F Leggings
0x4396fc@mhfdat-jp.bin,金色ノ袴・魁,Golden Hakama・魁
0x439700@mhfdat-jp.bin,黒子ノ足袋・魁,Black Cub Tabi・魁
0x439704@mhfdat-jp.bin,ガルルガＦグリーヴ,Garuga F Greaves
0x439708@mhfdat-jp.bin,ガルルガＦレギンス,Garuga F Leggings
0x43970c@mhfdat-jp.bin,ラヴァＵグリーヴ,Lavasioth U Greaves
0x439710@mhfdat-jp.bin,ラヴァＵレギンス,Lavasioth U Leggings
0x439714@mhfdat-jp.bin,ホワイトメタルブーツ,White Metal Boots
0x439718@mhfdat-jp.bin,セレストグリーヴ,Celeste Greaves
0x43971c@mhfdat-jp.bin,シエルディバイダー,Ciel Divider
0x439720@mhfdat-jp.bin,コムラダブーツ【赤】,Comrade Boots [Red 】
0x439724@mhfdat-jp.bin,コムラダブーツ【青】,Comrade Boots [Blue 】
0x439728@mhfdat-jp.bin,コムラダブーツ【緑】,Comrade Boots [Green 】
0x43972c@mhfdat-jp.bin,コムラダブーツ【橙】,Comrade Boots [Orange 】
0x439730@mhfdat-jp.bin,ダミー,ダミー
0x439734@mhfdat-jp.bin,ダミー,ダミー
0x439738@mhfdat-jp.bin,エスピナフェルゼ,Espinas Heel
0x43973c@mhfdat-jp.bin,エスピナアヴィレ,Espinas March
0x439740@mhfdat-jp.bin,エスピナＦフェルゼ,Espinas F Heel
0x439744@mhfdat-jp.bin,エスピナＦアヴィレ,Espinas F March
0x439748@mhfdat-jp.bin,アスールグリーヴ,Azul Greaves
0x43974c@mhfdat-jp.bin,アスールレギンス,Azul Leggings
0x439750@mhfdat-jp.bin,アメザリグリーヴ,Amezari Greaves
0x439754@mhfdat-jp.bin,アメザリレギンス,Amezari Leggings
0x439758@mhfdat-jp.bin,プロミスブーツ【白】,Promise Boots [White 】
0x43975c@mhfdat-jp.bin,プロミスブーツ【青】,Promise Boots [Blue 】
0x439760@mhfdat-jp.bin,プロミスブーツ【紫】,Promise Boots [Purple 】
0x439764@mhfdat-jp.bin,プロミスブーツ【黄】,Promise Boots [Yellow 】
0x439768@mhfdat-jp.bin,ブリスブーツ【白】,Bliss Boots [White 】
0x43976c@mhfdat-jp.bin,ブリスブーツ【青】,Bliss Boots [Blue 】
0x439770@mhfdat-jp.bin,ブリスブーツ【紫】,Bliss Boots [Purple 】
