index,source,target
104,Master of Giants,Master of Giants
105,Titan,Titan
106,Micro,Micro
107,Minimum,Minimum
108,Chicken of Chicken,Chicken of Chicken
109,Sword and Shield Maniac,Sword and Shield Maniac
110,Greatsword Maniac,Greatsword Maniac
111,Lance Maniac,Lance Maniac
112,Hammer Maniac,Hammer Maniac
113,Dual Blade Maniac,Dual Blade Maniac
114,Light Bowgun Maniac,Light Bowgun Maniac
115,Heavy Bowgun Maniac,Heavy Bowgun Maniac
116,Longsword Maniac,Longsword Maniac
117,Bow Maniac,Bow Maniac
118,Gunlance Maniac,Gunlance Maniac
119,Hunting Horn Maniac,Hunting Horn Maniac
120,Weapon Master,Weapon Master
121,Well Dressed,Well Dressed
122,Fashion Leader,Fashion Leader
123,Dr. Mushroom,Dr. Mushroom
124,Mushroom Master,Mushroom Master
125,Egg Thief,Egg Thief
126,Crystal Hunter,Crystal Hunter
127,Danger Hunter,Danger Hunter
128,Alpinist,Alpinist
129,Mule,Mule
130,Jungle Guide,Jungle Guide
131,Desert Guide,Desert Guide
132,Swamp Guide,Swamp Guide
133,Mountain Guide,Mountain Guide
134,Volcano Guide,Volcano Guide
135,Forest & Hills Guide,Forest & Hills Guide
136,Dojo Point Earner,Dojo Point Earner
137,Dojo Coin Master,Dojo Coin Master
138,Dojo High Scorer,Dojo High Scorer
139,Dojo Teacher,Dojo Teacher
140,Dojo Instructor,Dojo Instructor
141,Beast Master,Beast Master
142,Beast Failure,Beast Failure
143,Guild Knight,Guild Knight
144,Guild's Trumpcard,Guild's Trumpcard
145,Jumbo Hero,Jumbo Hero
146,Tavern Hero,Tavern Hero
147,Hero of Dundorma,Hero of Dundorma
148,Hypnoc Hunter,Hypnoc Hunter
149,Volganos Hunter,Volganos Hunter
150,Tigrex Hunter,Tigrex Hunter
151,Akantor Hunter,Akantor Hunter
152,Espinas Hunter,Espinas Hunter
153,Akura Hunter,Akura Hunter
154,Berukyurosu Hunter,Berukyurosu Hunter
155,Pariapuria Hunter,Pariapuria Hunter
156,Kamu Hunter,Kamu Hunter
157,Nono Hunter,Nono Hunter
158,Dyuragaua Hunter,Dyuragaua Hunter
159,Gurenzeburu Hunter,Gurenzeburu Hunter
160,Rukodiora Hunter,Rukodiora Hunter
161,Gogomoa Hunter,Gogomoa Hunter
162,Deep Sleep,Deep Sleep
163,Lava,Lava
164,Roaring Tiger,Roaring Tiger
165,Overlord,Overlord
166,Awakening,Awakening
167,Metamorphosis,Metamorphosis
168,Thunder,Thunder
169,Binge Eater,Binge Eater
170,Twin Fangs,Twin Fangs
171,Twin Roars,Twin Roars
172,Ice Attack,Ice Attack
173,Waterfall,Waterfall
174,Two Poles,Two Poles
175,Leaping Shadow,Leaping Shadow
176,King's Fang,King's Fang
177,Phantom Hunter,Phantom Hunter
178,Impulses,Impulses
179,Great Forest Guide,Great Forest Guide
180,Canyon Guide,Canyon Guide
181,Highlands Guide,Highlands Guide
182,Tidal Island Guide,Tidal Island Guide
183,Familial Love,Familial Love
184,Hunter of Legend,Hunter of Legend
185,Sword & Shield User,Sword & Shield User
186,Dual Swords User,Dual Swords User
187,Great Sword User,Great Sword User
188,Long Sword User,Long Sword User
189,Hammer User,Hammer User
190,Hunting Horn User,Hunting Horn User
191,Lance User,Lance User
192,Gunlance User,Gunlance User
193,Light Bowgun User,Light Bowgun User
194,Heavy Bowgun User,Heavy Bowgun User
195,Bow User,Bow User
196,Guild's Mascot,Guild's Mascot
197,Guild Member,Guild Member
198,Abiorugu Hunter,Abiorugu Hunter
199,Moody Person,Moody Person
200,Zamuza Hunter,Zamuza Hunter
201,Taikun,Taikun
202,Kuarusepusu Hunter,Kuarusepusu Hunter
203,Heavenly Force,Heavenly Force
204,Unaffected,Unaffected
205,Black Emperor,Black Emperor
206,Blue Flame Champion,Blue Flame Champion
207,Cannon Emperor,Cannon Emperor
208,Desert Champion,Desert Champion
209,Supreme Drunk,Supreme Drunk
210,Hungry Champion,Hungry Champion
211,Dark Overlord,Dark Overlord
212,Phantom Champion,Phantom Champion
213,Flame Overlord,Flame Overlord
214,Flaming Champion,Flaming Champion
215,Twin Overlord,Twin Overlord
216,Double Champion,Double Champion
217,Supreme Conqueror,Supreme Conqueror
218,Spinner of Secrets,Spinner of Secrets
219,Devoted Husband,Devoted Husband
220,Innocence,Innocence
221,Funky,Funky
222,Lightning in a Bottle,Lightning in a Bottle
223,Cunning,Cunning
224,Problem Solver,Problem Solver
225,Recluse,Recluse
226,Domination,Domination
227,Hooligan,Hooligan
228,Pushing Onwards,Pushing Onwards
229,Villain,Villain
230,Three Foot Frost,Three Foot Frost
231,Nothingness,Nothingness
232,Indomitable,Indomitable
233,Storm of Stones,Storm of Stones
234,Flash of Lightning,Flash of Lightning
235,Fearless,Fearless
236,All or Nothing,All or Nothing
237,Dreamchaser,Dreamchaser
238,Flawless,Flawless
239,Mythology,Mythology
240,Polar Sea Guide,Polar Sea Guide
241,Fighting Spirit,Fighting Spirit
242,Burning Rage,Burning Rage
243,Crimson,Crimson
244,Mysterious,Mysterious
245,Splendour,Splendour
246,Lightbeam,Lightbeam
247,Ruinous Star,Ruinous Star
248,Black Gold,Black Gold
249,Solitary Struggle,Solitary Struggle
250,One Hundred Blossoms,One Hundred Blossoms
251,With a Single Blow,With a Single Blow
252,Ruinous Flames,Ruinous Flames
253,Tonfa User,Tonfa User
254,Flower Field Guide,Flower Field Guide
255,Gorgeous,Gorgeous
256,Swift Thunder,Swift Thunder
257,Sparkling,Sparkling
258,Dazzling,Dazzling
259,Grace,Grace
260,Hero's Strength,Hero's Strength
261,Antinomy,Antinomy
262,Lord of Freezing Flame,Lord of Freezing Flame
263,Finishing Touch,Finishing Touch
264,Ruler of the Blue Flame,Ruler of the Blue Flame
265,Performer,Performer
266,Supporter,Supporter
267,Extreme Ice,Extreme Ice
268,Unstoppable Fortitude,Unstoppable Fortitude
269,Burning Horns,Burning Horns
270,High Spirits,High Spirits
271,Surging Fury,Surging Fury
272,Torrential Force,Torrential Force
273,Flowing,Flowing
274,Transmigration,Transmigration
275,Transformation,Transformation
276,Two Sides of a Coin,Two Sides of a Coin
277,Quaking Thunder,Quaking Thunder
278,Ten Thousand Bolts,Ten Thousand Bolts
279,White Lake Guide,White Lake Guide
280,Floating Peak,Floating Peak
281,Ryorakinshu,Ryorakinshu
282,Absolute Ice,Absolute Ice
283,Unchained,Unchained
284,Insatiable,Insatiable
285,Survival of the Fittest,Survival of the Fittest
286,Blasting,Blasting
287,Doing Your Best,Doing Your Best
288,Making Progress,Making Progress
289,Resplendent Grace,Resplendent Grace
290,Advancing Ice,Advancing Ice
291,Bringer of Frost,Bringer of Frost
292,Moment of Violence,Moment of Violence
293,Moment of Thirst,Moment of Thirst
294,Rockbreaker,Rockbreaker
295,"Supreme Lustre ""Flash""","Supreme Lustre ""Flash"""
296,"Supreme Lustre ""Shine""","Supreme Lustre ""Shine"""
297,"Supreme Lustre ""Glory""","Supreme Lustre ""Glory"""
298,"Supreme Lustre ""Clear""","Supreme Lustre ""Clear"""
299,Master of Ultraviolence,Master of Ultraviolence
300,Snowstorm,Snowstorm
301,Freezing Winds,Freezing Winds
302,Blunt Force,Blunt Force
303,Explosive Applause,Explosive Applause
304,Master of Moonlight,Master of Moonlight
305,Imperial Majesty,Imperial Majesty
306,Majestic Ruler,Majestic Ruler
307,Sharp Speed,Sharp Speed
308,Traceless Shadow,Traceless Shadow
309,Switch Axe User,Switch Axe User
310,Calamitous Moment,Calamitous Moment
311,Asura,Asura
312,Man-Eating Demon,Man-Eating Demon
313,Cerberus,Cerberus
314,Vigilant Wolf,Vigilant Wolf
315,Ruling Conqueror,Ruling Conqueror
316,I have a log!,I have a log!
317,I love Salmon Roe,I love Salmon Roe
318,I love Salmon,I love Salmon
319,This is a good log...,This is a good log...
320,Painted Falls Guide,Painted Falls Guide
321,Sword Dancer,Sword Dancer
322,Decisive Slice,Decisive Slice
323,Calamity,Calamity
324,Spotless,Spotless
325,Poisonous Horn,Poisonous Horn
326,Burning Wings,Burning Wings
327,Immortal Shield,Immortal Shield
328,Grotesque Face,Grotesque Face
329,The Bird's Lullabye,The Bird's Lullabye
330,Master of Interception,Master of Interception
331,Crushing Arms,Crushing Arms
332,Honorable Hunter,Honorable Hunter
333,Dazzling Tail,Dazzling Tail
334,Rending Claws,Rending Claws
335,Master of Speed,Master of Speed
336,Gigantic Peak,Gigantic Peak
337,Senshi,Senshi
338,Shogun,Shogun
339,Emperor,Emperor
340,Clan 1,Clan 1
341,Clan 2,Clan 2
342,Stimulating Needles,Stimulating Needles
343,Iceberg Tail,Iceberg Tail
344,Polar Light,Polar Light
345,Mountain God's Fury,Mountain God's Fury
346,Living Machine,Living Machine
347,YoRHa Forces,YoRHa Forces
348,Resistance,Resistance
349,Rivalry,Rivalry
350,Heaven's Contradiction,Heaven's Contradiction
351,The Origin,The Origin
352,Everlasting,Everlasting
353,Explosive Legs,Explosive Legs
354,Clean Sweep,Clean Sweep
355,Decisive Fortitude,Decisive Fortitude
356,Master of Road,Master of Road
357,Hunter's Road Traveller,Hunter's Road Traveller
358,Hunter's Road Demon,Hunter's Road Demon
359,What's a shop..?,What's a shop..?
360,Magnetic Wings,Magnetic Wings
361,Remarkable Face,Remarkable Face
362,Heavenly War,Heavenly War
363,Heaven's Dancing Dragon,Heaven's Dancing Dragon
364,Lantern Tail,Lantern Tail
365,Master of Equilibrium,Master of Equilibrium
366,Dream Conqueror,Dream Conqueror
367,Void Conqueror,Void Conqueror
368,Ruinous Star Conqueror,Ruinous Star Conqueror
369,Ruinous Flame Conqueror,Ruinous Flame Conqueror
370,Extreme Conqueror,Extreme Conqueror
371,Red Moon Hunter,Red Moon Hunter
372,Eternal Hunter,Eternal Hunter
373,I Love Singing,I Love Singing
374,Diva Fanatic,Diva Fanatic
375,Diva's Defender,Diva's Defender
376,Diva,Diva
377,Emperor of Roses,Emperor of Roses
378,Knight of the Sun,Knight of the Sun
379,Hunting Rd P Ranking,Hunting Rd P Ranking
380,Hunting Road S Ranking,Hunting Road S Ranking
381,Saint of Salvation,Saint of Salvation
382,Knight of Treachery,Knight of Treachery
383,Dragon Slayer,Dragon Slayer
384,Knight of Phantom Horse,Knight of Phantom Horse
385,Dazzling Wings,Dazzling Wings
386,Lunatic Horn,Lunatic Horn
387,Master of Arrogance,Master of Arrogance
388,Lonely Wolf,Lonely Wolf
389,Master of Solitude,Master of Solitude
390,One Hundred Battles,One Hundred Battles
391,Flame Tyrant Slayer!,Flame Tyrant Slayer!
392,Surely a Lunatic,Surely a Lunatic
393,Crushing Palms,Crushing Palms
394,Cutting Winds,Cutting Winds
395,Slicing Skies,Slicing Skies
396,Piercing Horn,Piercing Horn
397,Sniper,Sniper
398,Master of Nyanrendo,Master of Nyanrendo
399,Hurrah for Honey!,Hurrah for Honey!
400,Gook Scoop Master,Gook Scoop Master
401,I love Dokkan!,I love Dokkan!
402,Partnyaa  Love,Partnyaa  Love
403,Pakkun Master,Pakkun Master
404,Pro Gamer,Pro Gamer
405,Explosive Limbs,Explosive Limbs
406,Volcanic Body,Volcanic Body
407,Latching Head,Latching Head
408,Master of Explosions,Master of Explosions
409,"Eternal Lustre ""Flash""","Eternal Lustre ""Flash"""
410,"Eternal Lustre ""Shine""","Eternal Lustre ""Shine"""
411,"Eternal Lustre ""Glory""","Eternal Lustre ""Glory"""
412,"Eternal Lustre ""Clear""","Eternal Lustre ""Clear"""
413,I played with Rappy!,I played with Rappy!
414,RARE DROP☆KOI☆KOI!,RARE DROP☆KOI☆KOI!
415,Master of Hunting,Master of Hunting
416,Magspike User,Magspike User
417,New Power,New Power
418,I love E-Tanks!,I love E-Tanks!
419,Tiun Tiun,Tiun Tiun
420,Strange Claws,Strange Claws
421,Red and Silver Skull,Red and Silver Skull
422,Red Radiance,Red Radiance
